Word,AoALikert,Frequency
Hitze,2.68,0.006351894209862125
Hocker,2.12,0.0009345818628925827
Honig,2.2,0.0034815333542433185
Hose,1.635,0.008462847968678923
Hosenträger,2.95,0.00018797916046610588
Hubschrauber,2.615,0.003242903899570203
Huf,2.58,0.00019487917768836363
Huhn,1.8133333333333328,0.004087472953900615
Hund,1.4,0.02720535548772957
Hunger,1.71,0.005478521056791819
Hupe,2.0,0.00043473581663255173
Hut,2.25,0.007863738922983258
Höflichkeit,2.89,0.0006495972589612121
Höhe,2.63,0.059729686499801406
Hütte,2.5,0.005916811076926439
Idee,2.84,0.062234485369161804
Igel,1.84,0.0015563243543424657
Impfung,2.88,0.004638177684149535
Insekt,2.56,0.003500404206713587
Insel,2.46,0.02153736181036817
Instrument,2.79,0.014435484352729065
Jacke,1.775,0.004896986216034723
Januar,2.93,0.08298176047595114
Joghurt,2.38,0.0014258260420450003
Juni,2.92,0.08791215852034734
Jäger,2.5,0.007935818633093622
Kabel,2.5,0.0070473256436268915
Kaffee,2.47,0.017755203041342357
Kakao,2.08,0.001374226416609425
Kaktus,3.0,0.00031169322764235813
Kalender,2.94,0.006341532606818634
Kamel,2.47,0.0007757193858391919
Kamera,2.8,0.022030886699911167
Kamm,2.32,0.0010505507765089515
Kammer,2.74,0.007603714784037102
Kampf,2.53,0.04176979838381221
Kanne,2.36,0.000707819048576538
Kante,3.0,0.0012972032377844573
Kapitän,3.0,0.010566542816760225
Kappe,2.82,0.00105026134625634
Karotte,3.0,0.0010582959300688348
Karte,2.53,0.04825175097198783
Kartoffel,1.95,0.005026361538952056
Kartoffelpüree,2.26,0.00013209596729188078
Karton,2.54,0.0025411513090884017
Kasse,2.58,0.017237319701739577
Kassette,2.83,0.0008528930683955177
Kastanie,2.52,0.0009387033496897701
Kater,2.45,0.002767925700614551
Katze,1.51,0.010019484907694208
Kauf,2.92,0.021049683411927925
Keks,1.68,0.0019049025733776312
Keller,2.0,0.015855788065554238
Kerze,2.0,0.0043404928807335725
Ketchup,2.42,0.00043524521387714794
Kette,2.07,0.0052435152688814
Kind,1.31,0.2655073603502504
Kindergärtner,2.5,6.746040327868442e-05
Kirche,2.48,0.0677433271392172
Kirsche,2.24,0.001391870084808621
Kissen,1.79,0.001892526535775964
Klavier,2.565,0.007837018722062166
Kleber,2.06,0.00112188954517263
Klee,2.56,0.0012417368241739927
Kleid,2.5,0.009611434560352437
Klettergerüst,2.47,0.0003028250847023423
Klingel,2.09,0.000694736801158499
Klinke,2.37,0.0008855176464698841
Knie,1.88,0.006925243963075368
Knochen,2.52,0.0037297834705132395
Knoten,2.18,0.0024066241276745844
Koch,2.4,0.01612613907591357
Koffer,2.39,0.004421996439868966
Kohlrabi,2.85,0.0003520050732260855
Kommode,3.0,0.00044602359648439956
Kopftuch,2.7,0.001489083918055766
Korb,1.89,0.0032310025275828188
Kraft,2.59,0.047226264855355034
Kralle,2.8,0.0005242855367905445
Kran,2.505,0.001797570258499189
Krankenschwester,2.95,0.0021656560765603685
Krankheit,2.32,0.01765697041360602
Kreide,2.6,0.0008273305884848715
Kreis,1.88,0.06684070995342303
Kreisel,2.3,0.002380228088636417
Kreuz,2.74,0.014006699222090207
Krokodil,2.6900000000000004,0.001008189764736735
Krone,2.21,0.005932035108213804
Krähe,2.75,0.000636561320383591
Kuchen,1.81,0.012162125490566913
Kuckuck,2.215,0.00045910584390243856
Kugel,2.04,0.005881361659586585
